ID,CODAREA,DISTRITO,RECNUM,MOR_DOM,RENDA,CB,ENERGIA,XCENTR,YCENTR
1,3550308999001,355030878,1,2.60670,1493.70,11.54036,205.47501,333551,7394890
2,3550308999002,355030866,2,2.14750,2147.74,12.99514,205.82095,332455,7394450
3,3550308999003,355030866,3,2.08593,2900.93,13.29164,260.38239,332189,7395200
4,3550308999004,355030866,4,2.44841,1643.90,11.92745,205.60198,332701,7395870
5,3550308999005,355030809,5,3.09116,2267.14,13.73739,323.63931,333149,7396670
6,3550308999006,355030809,6,3.21883,1872.27,12.97058,283.86620,332903,7397380
7,3550308999007,355030810,7,2.94478,1852.13,12.34014,245.86429,334769,7395410
8,3550308999008,355030814,8,3.04874,2599.30,14.74809,274.59873,335015,7392760
9,3550308999009,355030849,9,2.80515,2706.37,14.45870,261.53791,333970,7393250
10,3550308999010,355030849,10,2.88572,5442.36,17.32728,377.50651,333461,7392090
11,3550308999011,355030849,11,2.54299,3652.67,15.11711,281.36323,333356,7392740
12,3550308999012,355030849,12,2.35930,2267.74,13.66093,229.97309,332911,7393140
13,3550308999013,355030807,13,2.44698,2054.48,12.91066,213.09335,331796,7394090
14,3550308999014,355030807,14,2.36451,2134.99,13.12825,234.59299,332384,7393860
15,3550308999015,355030807,15,2.60706,5389.08,17.74152,374.08785,332197,7392990
16,3550308999016,355030807,16,2.24056,3867.50,15.60743,280.57661,331357,7393530
17,3550308999017,355030826,17,2.76975,8100.64,19.29274,512.29255,330896,7394970
18,3550308999018,355030826,18,2.23736,3547.92,15.46642,279.66607,331430,7395210
19,3550308999019,355030826,19,2.12512,3532.37,14.94892,257.89919,331342,7394400
20,3550308999020,355030826,20,2.88175,7959.75,19.24920,598.59275,330017,7394920
21,3550308999021,355030869,21,2.54287,2090.05,13.16332,225.36360,331925,7396390
22,3550308999022,355030869,22,2.23459,2223.48,13.71589,208.03372,331509,7395840
23,3550308999023,355030856,23,3.21665,1971.14,13.83202,262.92529,334872,7397190
24,3550308999024,355030808,24,3.20777,2630.80,13.95941,256.50262,336867,7396470
25,3550308999025,355030808,25,3.11072,2817.55,15.68984,295.87674,338075,7395390
26,3550308999026,355030853,26,2.99862,2567.98,15.29446,276.91264,337082,7394430
27,3550308999027,355030853,27,3.05467,3205.55,15.81111,336.94370,338004,7392680
28,3550308999028,355030853,28,3.05062,3764.12,16.79365,365.16653,337138,7392680
29,3550308999029,355030834,29,3.15544,3157.90,15.58830,319.46570,336086,7391310
30,3550308999030,355030890,30,2.73315,4159.17,16.71203,305.12633,333445,7391050
31,3550308999031,355030890,31,3.09458,4735.29,18.18124,373.32384,334226,7390500
32,3550308999032,355030890,32,2.87354,5427.87,18.28639,364.53570,332075,7390420
33,3550308999033,355030890,33,2.61536,4398.68,17.21776,323.51300,332710,7390680
34,3550308999034,355030890,34,2.68224,5987.88,18.72055,429.22391,331892,7391920
35,3550308999035,355030845,35,2.48513,7181.30,18.42036,446.28283,331038,7392520
36,3550308999036,355030845,36,2.44028,6930.66,18.67867,456.57373,329840,7393530
37,3550308999037,355030845,37,2.65739,8426.90,19.39691,608.36424,330397,7393000
38,3550308999038,355030845,38,2.37296,4641.00,17.14254,305.90742,329126,7393910
39,3550308999039,355030845,39,2.77427,7682.68,19.46950,609.32622,329729,7392110
40,3550308999040,355030860,40,2.88053,6503.64,18.94986,409.45802,329423,7396360
41,3550308999041,355030860,41,2.94152,7300.57,19.07369,483.96708,329457,7395330
42,3550308999042,355030869,42,2.64353,2591.80,14.66359,251.62242,331073,7397270
43,3550308999043,355030869,43,2.70265,5443.83,18.10872,450.40334,330813,7396120
44,3550308999044,355030806,44,2.78594,3268.34,15.48684,292.16216,329028,7397840
45,3550308999045,355030821,45,3.26306,3210.33,15.74703,295.18538,330553,7399170
46,3550308999046,355030821,46,3.29298,2200.87,13.82441,269.46148,330277,7399770
47,3550308999047,355030870,47,3.20353,2419.09,14.77604,279.52649,333720,7399180
48,3550308999048,355030886,48,3.29884,2442.54,14.13128,274.66369,335841,7398680
49,3550308999049,355030886,49,3.29261,2087.19,14.28928,275.40594,336469,7400200
50,3550308999050,355030889,50,3.20095,1991.78,13.61812,256.78083,337569,7398350
51,3550308999051,355030889,51,3.33371,1795.93,13.31759,258.92437,338123,7399600
52,3550308999052,355030889,52,3.31989,1533.51,12.85282,247.37318,338728,7399730
53,3550308999053,355030889,53,3.83035,1121.13,10.90493,163.04733,338410,7397520
54,3550308999054,355030889,54,3.63184,1564.63,11.99459,233.08199,340474,7398990
55,3550308999055,355030880,55,3.06257,3008.22,15.37849,287.88333,340721,7396780
56,3550308999056,355030880,56,2.93844,2953.42,15.51444,305.86857,339066,7396460
57,3550308999057,355030880,57,3.07181,4232.40,16.72204,341.46019,340650,7395020
58,3550308999058,355030880,58,3.08282,3625.95,16.42286,343.05146,339498,7394900
59,3550308999059,355030801,59,3.14935,2984.19,15.94486,322.80216,338857,7393910
60,3550308999060,355030801,60,3.12460,2337.08,14.39046,282.03454,338896,7392810
61,3550308999061,355030801,61,3.15280,2527.50,14.82542,283.53088,339747,7393350
62,3550308999062,355030885,62,3.33351,3870.64,16.17484,371.97882,341431,7393330
63,3550308999063,355030801,63,3.38757,1886.27,13.78371,258.55901,340668,7392800
64,3550308999064,355030801,64,3.25102,1888.27,13.72664,265.15658,339860,7391710
65,3550308999065,355030893,65,3.20015,2998.21,15.45493,316.69963,339446,7391010
66,3550308999066,355030893,66,3.40420,2150.10,12.50476,211.68119,338336,7390450
67,3550308999067,355030834,67,2.95058,2882.77,15.42852,276.13065,336607,7389820
68,3550308999068,355030834,68,3.12643,2847.08,15.47638,278.07151,335250,7390110
69,3550308999069,355030834,69,3.14911,2534.19,14.49688,269.49682,335755,7388810
70,3550308999070,355030827,70,3.39465,2729.16,15.35323,299.56898,335256,7387400
71,3550308999071,355030827,71,3.13444,3130.76,16.19292,306.54384,334769,7389030
72,3550308999072,355030827,72,3.31661,5555.81,17.46843,365.37904,334463,7387410
73,3550308999073,355030890,73,2.88809,4910.98,17.68444,324.47334,333396,7389640
74,3550308999074,355030877,74,2.91968,3817.18,16.29803,295.99455,333536,7388270
75,3550308999075,355030877,75,2.67668,4531.71,17.45248,323.93997,332255,7388910
76,3550308999076,355030877,76,2.85876,4029.16,17.37536,317.85610,332434,7388240
77,3550308999077,355030832,77,2.90971,8596.90,19.70681,593.37525,330817,7390370
78,3550308999078,355030835,78,2.46099,6717.19,18.19859,463.65587,328282,7390420
79,3550308999079,355030835,79,2.71346,7978.36,19.73784,508.83044,329291,7391350
80,3550308999080,355030862,80,2.43581,5314.77,17.06836,322.12548,327780,7393140
81,3550308999081,355030862,81,2.85738,7496.15,18.51293,623.23490,327757,7392170
82,3550308999082,355030862,82,2.73852,5396.35,17.69661,359.95141,327690,7394170
83,3550308999083,355030860,83,2.75913,6303.82,18.40619,360.57808,327979,7396100
84,3550308999084,355030860,84,2.88206,5245.79,17.99852,370.02907,328560,7396580
